closePrice,turnoverValue,exchangeCD,secID,tradeDate,marketValue,turnoverRate,highestPrice,negMarketValue,secShortName,PE1,PB,accumAdjFactor,actPreClosePrice,openPrice,PE,dealAmount,lowestPrice,ticker,preClosePrice,turnoverVol
4.49,9029283492,XSHG,601988.XSHG,2015-04-09,1321801182672.09,0.0094,4.64,946337161658.54,,7.7939,0.2598,1,4.53,4.54,7.7939,279459,4.47,601988,4.53,1989324014
4.56,7249499379,XSHG,601988.XSHG,2015-04-10,1342408328058.96,0.0076,4.57,961090747697.76,,7.9154,0.2638,1,4.49,4.49,7.9154,209740,4.46,601988,4.49,1604071101
4.68,11481411429,XSHG,601988.XSHG,2015-04-13,1377734863007.88,0.0117,4.72,986382609479.28,,8.1237,0.2708,1,4.56,4.65,8.1237,321779,4.58,601988,4.56,2474513483
4.63,7040474967,XSHG,601988.XSHG,2015-04-14,1363015473445.83,0.0072,4.67,975844333736.98,,8.0369,0.2679,1,4.68,4.67,8.0369,220503,4.6,601988,4.68,1521179126
4.71,11280468150,XSHG,601988.XSHG,2015-04-15,1386566496745.11,0.0114,4.79,992705574924.66,,8.1758,0.2725,1,4.63,4.64,8.1758,351139,4.62,601988,4.63,2396243172
4.8,8065126464,XSHG,601988.XSHG,2015-04-16,1413061397956.8,0.0081,4.81,1011674471260.8,,8.332,0.2777,1,4.71,4.67,8.332,241547,4.63,601988,4.71,1708043827
4.93,13228417498,XSHG,601988.XSHG,2015-04-17,1451331810818.13,0.0128,5,1039073988190.78,,8.5576,0.2852,1,4.8,4.9,8.5576,371828,4.83,601988,4.8,2691318812
4.74,14899935423,XSHG,601988.XSHG,2015-04-20,1395398130482.34,0.0145,4.99,999028540370.04,,8.2278,0.2742,1,4.93,4.99,8.2278,469622,4.7,601988,4.93,3054796608
4.78,8483328748,XSHG,601988.XSHG,2015-04-21,1407173642131.98,0.0085,4.78,1007459160963.88,,8.2973,0.2766,1,4.74,4.7,8.2973,245368,4.66,601988,4.74,1796728632
4.86,9539122835,XSHG,601988.XSHG,2015-04-22,1430724665431.26,0.0094,4.86,1024320402151.56,,8.4361,0.2812,1,4.78,4.79,8.4361,263674,4.75,601988,4.78,1987120396
4.8,7417101520,XSHG,601988.XSHG,2015-04-23,1413061397956.8,0.0073,4.88,1011674471260.8,,8.332,0.2777,1,4.86,4.86,8.332,242596,4.75,601988,4.86,1543600941
4.66,7558234801,XSHG,601988.XSHG,2015-04-24,1371847107183.06,0.0077,4.73,982167299182.36,,8.089,0.2696,1,4.8,4.71,8.089,295451,4.6,601988,4.8,1619024545
4.81,8748362515,XSHG,601988.XSHG,2015-04-27,1416005275869.21,0.0087,4.82,1013782126409.26,,8.3493,0.2783,1,4.66,4.66,8.3493,272123,4.66,601988,4.66,1841765905
5.06,20155496189,XSHG,601988.XSHG,2015-04-28,1489602223679.46,0.0191,5.29,1066473505120.76,,8.7833,0.2928,1,4.81,4.83,8.7833,659850,4.81,601988,4.81,4017962240
4.97,9226271656,XSHG,601988.XSHG,2015-04-29,1463107322467.77,0.0089,5.01,1047504608784.62,,8.6271,0.2876,1,5.06,5,8.6271,310545,4.85,601988,5.06,1872648855
4.84,7179089287,XSHG,601988.XSHG,2015-04-30,1424836909606.44,0.007,4.96,1020105091854.64,,7.771,0.28,1,4.97,4.96,8.3779,270261,4.83,601988,4.97,1471072869
4.83,4814831226,XSHG,601988.XSHG,2015-05-04,1421893031694.03,0.0048,4.85,1017997436706.18,,7.755,0.2795,1,4.84,4.83,8.3606,194138,4.74,601988,4.84,1002395442
4.59,6891471879,XSHG,601988.XSHG,2015-05-05,1351239961796.19,0.007,4.82,967413713143.14,,7.3696,0.2656,1,4.83,4.82,7.9452,314131,4.56,601988,4.83,1469694361
4.51,5680564222,XSHG,601988.XSHG,2015-05-06,1327688938496.91,0.0059,4.69,950552471955.46,,7.2412,0.2609,1,4.59,4.58,7.8067,248872,4.43,601988,4.59,1239073382
4.43,3930568878,XSHG,601988.XSHG,2015-05-07,1304137915197.63,0.0042,4.51,933691230767.78,,7.1128,0.2563,1,4.51,4.49,7.6682,168992,4.41,601988,4.51,881491971
4.49,3544950136,XSHG,601988.XSHG,2015-05-08,1321801182672.09,0.0038,4.5,946337161658.54,,7.2091,0.2598,1,4.43,4.47,7.7721,141227,4.42,601988,4.43,793470459
4.56,4901775344,XSHG,601988.XSHG,2015-05-11,1342408328058.96,0.0052,4.56,961090747697.76,,7.3215,0.2638,1,4.49,4.5,7.8933,194086,4.42,601988,4.49,1093674135
4.58,4132891504,XSHG,601988.XSHG,2015-05-12,1348296083883.78,0.0043,4.6,965306057994.68,,7.3536,0.265,1,4.56,4.55,7.9279,151604,4.51,601988,4.56,906667108
