closePrice,turnoverValue,exchangeCD,secID,tradeDate,marketValue,turnoverRate,highestPrice,negMarketValue,secShortName,PE1,PB,accumAdjFactor,actPreClosePrice,openPrice,PE,dealAmount,lowestPrice,ticker,preClosePrice,turnoverVol
9.97,892298078,XSHG,600601.XSHG,2015-05-06,21883065303.88,0.04,10.38,21883065303.88,,206.4575,1.5364,1,10.03,10.03,76.8547,56879,9.8,600601,10.03,87722611
9.2,969509706,XSHG,600601.XSHG,2015-05-07,20192999076.8,0.0467,9.9,20192999076.8,,190.5124,1.4178,1,9.97,9.8,70.9191,63302,9.1,600601,9.97,102566948
9.88,1210246996,XSHG,600601.XSHG,2015-05-08,21685525095.52,0.0573,9.89,21685525095.52,,204.5938,1.5225,1,9.2,9.35,76.161,78481,9.35,600601,9.2,125775900
10.87,1846304576,XSHG,600601.XSHG,2015-05-11,23858467387.48,0.0795,10.87,23858467387.48,,225.0946,1.6751,1,9.88,10.01,83.7925,96775,10.01,600601,9.88,174550582
10.86,2287850036,XSHG,600601.XSHG,2015-05-12,23836518475.44,0.0948,11.33,23836518475.44,,224.8875,1.6736,1,10.87,11.24,83.7154,134203,10.7,600601,10.87,208086960
11.15,2136159864,XSHG,600601.XSHG,2015-05-13,24473036924.6,0.0886,11.43,24473036924.6,,230.8928,1.7183,1,10.86,10.73,85.9509,125259,10.41,600601,10.86,194523479
10.84,1311544716,XSHG,600601.XSHG,2015-05-14,23792620651.36,0.0545,11.28,23792620651.36,,224.4734,1.6705,1,11.15,11.18,83.5612,74962,10.8,600601,11.15,119556980
10.38,1079848375,XSHG,600601.XSHG,2015-05-15,22782970697.52,0.0471,10.85,22782970697.52,,214.9477,1.5996,1,10.84,10.85,80.0153,70088,10.22,600601,10.84,103479672
10.39,946406371,XSHG,600601.XSHG,2015-05-18,22804919609.56,0.0409,10.76,22804919609.56,,215.1548,1.6011,1,10.38,10.38,80.0923,55357,10.18,600601,10.38,89746613
10.64,1075995149,XSHG,600601.XSHG,2015-05-19,23353642410.56,0.0464,10.78,23353642410.56,,220.3318,1.6397,1,10.39,10.37,82.0195,58581,10.31,600601,10.39,101794732
11.07,2305851270,XSHG,600601.XSHG,2015-05-20,24297445628.28,0.094,11.49,24297445628.28,,229.2362,1.7059,1,10.64,10.67,85.3342,130319,10.67,600601,10.64,206220743
12.18,3707697261,XSHG,600601.XSHG,2015-05-21,26733774864.72,0.1442,12.18,26733774864.72,,252.2219,1.877,1,11.07,11.07,93.8907,161358,11.07,600601,11.07,316517533
12.03,4071986240,XSHG,600601.XSHG,2015-05-22,26404541184.12,0.152,12.7,26404541184.12,,249.1157,1.8539,1,12.18,12.7,92.7344,177667,11.82,600601,12.18,333695622
12.15,2738624888,XSHG,600601.XSHG,2015-05-25,26667928128.6,0.1038,12.34,26667928128.6,,251.6007,1.8724,1,12.03,11.79,93.6595,126327,11.7,600601,12.03,227808844
13.37,2842755296,XSHG,600601.XSHG,2015-05-26,29345695397.48,0.0995,13.37,29345695397.48,,276.8643,2.0604,1,12.15,12.17,103.064,97180,12.15,600601,12.15,218396292
14.06,6474918595,XSHG,600601.XSHG,2015-05-27,30860170328.24,0.2087,14.71,30860170328.24,,291.1527,2.1667,1,13.37,14.13,108.3829,276199,13.5,600601,13.37,458078245
12.65,4287684581,XSHG,600601.XSHG,2015-05-28,27765373730.6,0.1442,14.25,27765373730.6,,261.9546,1.9494,1,14.06,13.85,97.5138,234165,12.65,600601,14.06,316413439
12.49,2978726279,XSHG,600601.XSHG,2015-05-29,27414191137.96,0.1098,13.15,27414191137.96,,258.6414,1.9248,1,12.65,12.22,96.2804,156677,11.4,600601,12.65,241054892
13.24,2551620338,XSHG,600601.XSHG,2015-06-01,29060359540.96,0.0892,13.54,29060359540.96,,274.1723,2.0403,1,12.49,12.49,102.0619,121286,12.2,600601,12.49,195734124
13.45,2679266491,XSHG,600601.XSHG,2015-06-02,29521286693.8,0.0918,13.65,29521286693.8,,278.5209,2.0727,1,13.24,13.26,103.6807,133536,13,600601,13.24,201528664
13.98,3086467676,XSHG,600601.XSHG,2015-06-03,30684579031.92,0.1021,14.14,30684579031.92,,289.4961,2.1544,1,13.45,13.51,107.7662,152363,13.2,600601,13.45,224055135
13.48,2573779626,XSHG,600601.XSHG,2015-06-04,29587133429.92,0.0884,13.9,29587133429.92,,279.1422,2.0773,1,13.98,13.88,103.9119,137427,12.59,600601,13.98,194063201
13.78,2878481275,XSHG,600601.XSHG,2015-06-05,30245600791.12,0.0952,14.2,30245600791.12,,285.3545,2.1235,1,13.48,13.56,106.2245,134998,13.47,600601,13.48,208911055
